불량 업체에 대해서는 아무 조치도없고 조치를 취할 방안 역시 마련되어있지않습니다..사람들은 좋은 리뷰밖에 못보게되어있어요,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
사용하기 편리하고 맛있는 음식 간편하게 주문하기 딱 좋아요~~첫구매 쿠폰도 너무 좋았어요~^^,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
10년전 홍대거주할때 시켜먹었던 라나이피자 여전히 존재하고있는 라나이피자 다시 홍대로 이사 후 시켜먹은 라나이피자 그때와 똑같이 맛있는 라나이피자 맛있어요 !!,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
카드할인에 할인쿠폰도 있고 아주 딱 좋네요. 왜 진작에 사용 안했는지 후회중입니다.,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
다들 앱 쓰는데도 배달책자보던 습관을 버리지 못해 다운받은지 백만년만에 첫 회원가입하고 주문해봤어요ㅋ 역시 카드로 선결제 가능하니 편리하군요ㅎㅎ,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
믿고 시키는 민족~~배달의 민족 최고입니다. 늘 배고픔을 달래고 있습니다.,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
떡볶이스타(건대점) 배달의민족에서 주문해서 맛있게 먹었습니다.,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
음식 주문하기 편해서 좋아요 ! 결제수단도 많아서 선택가능해서 좋구요,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
집에서 배달 시키기도 편하고 도착시간 안내가 있어서 좋습니다. 이래저래 만족스럽습니다.,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
배달예정시간이 거의 정확해서좋아요. 예전에 비해 개선되어지고있는 배민... 응원합니다,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
할인혜택 감사. 그런데 좀 더 나은 음식으로 보기도 좋고 맛도 좋게요.,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
앱 사용성은 굉장히 편합니다만.. 배달비가 너무 천차만별이네요.. 집앞 피자 시켰는데 배민이 5천원이나 비싸네요.. 앞으로 전화배달 시키렵니다.,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
배달도 적당한 시간이고. 겉은 바싹하고 속은 촉촉한 치킨. 사장님 인심도 좋으셔서 요즘 자주 시켜먹으니 치즈볼을 서비스로~~,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
묵은지가 역시 다른곳과는 차이가 있어요 정말 맛있게 먹었어요 우리식구들 모두에게 맛집으로 선정ㅎ,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
풍무점 죽이야기 최고입니다~ 빠르고 친절하고 따뜻하게 가져다 주셔서 아프고 입맛없었는데 맛있게 잘 먹었습니다 깔끔하고 정성들어간 좋은 음식 꼭 재주문 하겠습니다~^^,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
업체에 주소가 잘못 전달 됐는지 배달이 1시간이나 지연되고. 중복으로 오고 난리네요. 요기요는 그런적이 없었는데. 앞으로 수고 많이 하세요.,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
와플 과하지도 덜하지도 않은 필링과 적당히 달달해서 맛있어요~^^ 커피 가격대비 짱입니다!!!,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
귀차니즘을 유발할만큼 손가락 까딱하면 먹을게 오니 너무 좋아요! 매장도 다양해서 좋습니다,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
잉ㅠ 항상 배민 현장현금결제는 본인인증?이런거 필요없었는데ㅠ 갑자기 필요한 버전이 ㅤㄷㅚㅆ네영..,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
우리 동네 배달 가능한 식당이 이리 많은지 몰랐어요. 편리합니다~,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
달콤당 아쥬대점 최고입니당!!!!!!♡♡♡♡♡♡ 사장님 너무 인상이 좋으시고 친절하셔서 감동했ㅤㅅㅡㅈ니다♡♡♡♡,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
배달의민족을 깔고나서 식사 종류의 스펙트럼이 어마어마하게 넓어졌어요 너무 좋아요,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
불편함없이 만족도 좋고 다 좋은데요 혹시 결제란에 티머니는 추가안되나요? 있으면 좋을꺼같은데,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
앞으로 이앱은 쓰지말아야겠어요 실사용자들한테는 혜택도별로없으면서 인플루언서들이나 연옌한테 돈쓰는 이런앱은 없어져야한다고생각합니다 있는고객한테나잘해라,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
오프라인으로 갈일있을때 매장영업을 하는지 앱으로 오픈되있는지 보고 알수 있어서 앱이용과 관계없이 도움이 되며 리뷰볼때 리뷰자가 시킨 메뉴가 어떤거였는지 알수있으면 좋겠어요 사진으로 구분안되는것도 많아요,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
"이벤트가 전부 선착순에 신규유저만 참여가능, 뽑기 등 혜택을 받고 싶어도 못받는 이벤트가 많고 vip혜택이 있으나 마나 거기서 거기라 사용하기도 애매함																																																																																																																																																														",부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"배달이 빨랐고 , 탕슉도 맛있어요. 탕슉안에 만두가 속이 알차요.																																																																																																																																																														",긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용자는 편하고 좋은데 수수료가얼마일지~~??사장님들 많이 배려해주시길 바라고~~랭킹 조작하는 느낌이 많이드네요~~ㅋ,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
다 괜찬은데 배민라이더스 먼가요 무슨 퀵서비슨가요 주변 음식집 다 처돌고 하나하나 배송해요? 거리를 뻔히 아는데 무슨 음식수령하고 십분거리를 사십분지나도 올기미가 안보여 걸어서 배달해요?,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
전체적으로 맛있어요 .아이들은 돈까스 어른은 냉면 먹었어요.비냉 물냉모두 맛있어요,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
아주 유용한 어플입니다~~이벤트도 할인쿠폰도 타 어플에 비해 많구 좋습니다,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
주문도 편하고 배달도 빠르고 완전 만족합니다.배달하시는분들 늘 운행 조심하시기를바랍니다. 감사합니다.,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
할인도 좋고 괜찮은데 위치 주변에 어디가 있는지 확인할 수가 없어서 일일이 검색해봤네요. 추천 음식점 뜨는게 거리순인지 다른 기준인지 알 수가 없어서 조금 불편했어요,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
배민 총 순위 8만등이더군요 근데 vvip면 뭐합니까? ㅎ 혜택은 연예인들이 다 가져가는디 아주 실망했네요 회원탈퇴했고 걍 다른거 쓸랍니다 ㅅㄱ,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
"괜찮은 어플. 리뷰도 있고, 주문도 쉽고 빠름.배달시킬때마다 배민사용함																																																																																																																																																														",긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"역시 배민갓!! 업소가 살아야 저도 좋아하는 집 계속시켜 먹는데, 어느 업체처럼 업소에 수수료를 악마 같이 많이 받지도 않고 정직하고 합리적인 운영 좋아요!																																																																																																																																																														",긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쿠폰사논게 있어서 쓰려고 주문하기 하니 계속 오류네요ㅜㅜ 주문하기로 넘어가질 않아요ㅜㅜ,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
편하고 좋아요 근데 쿠폰이벤때 업체에서 주문취소하고 전화안받고 개떡같은 업주들 몇있음,부정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
배민 쿠폰 너무 좋아요~덕분에 자주 시켜 먹어서 지출도 늘었지만 편하고 좋아요,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
쓰리치킨 구성도좋고 한번에 세가지를 즐길수있어 넘 좋아요~~ 배달임에도 불구하고 갓뒤겨서나온것처럼 바싹함을 느낄수있었고 따뜻함이 좋았어요~ 깔끔한 포장도 좋구요~ 단골집 되겠어요^^ 사장님 너무 맛있게 잘먹었습니다 ^^,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
배민 카테고리별 정리도 잘되있고 맛집선정해서 따로 나뉘서있어서 이용이 편하고 좋아요,긍정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
빠른배송과 싸고 맛있게 먹을수 있어서 넘 조아용~~^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
배민 이벤트도 좋고 앱사용도 간편하고 굿~~!!입니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
포인트 적립이나 사용 부분이 쫌 아쉬운점이 있지만. 그래도 역시 배민♡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
편하고 좋네요 쿠폰 이벤 자주하면 더 좋을거 같아요 검색란이 상단에 있음 더 편할듯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
이벤트도많이하고 쿠폰할인도 다양해서 굉장히 편리한 배달어플인거같아서 자주애용하면 좋을거같아요 다른분들도!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
첫주문으로 치킨시켰는데..아주 만족 잘먹었습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,긍정
