순위,노래,가수,앨범
79,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈 (MUSHVENOM),쇼미더머니 9 Final
80,Don't Start Now,Dua Lipa,Future Nostalgia
81,Santa Tell Me,Ariana Grande,Santa Tell Me
82,별을 담은 시 (Ode To The Stars),"마크툽 (MAKTUB), 이라온",Red Moon : Ode To The Stars
83,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
84,너도 아는,폴킴,너도 아는
85,12:45 (Stripped),Etham,12:45 (Stripped)
86,아무노래,지코 (ZICO),아무노래
87,Bad Boy,"청하, Christopher",Bad Boy
88,12월의 어느 겨울…,윤도 (YoonDo),12월의 어느 겨울…
89,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",다시 여기 바닷가
90,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
91,ON,방탄소년단,MAP OF THE SOUL : 7
92,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real
93,놓아줘 (with 태연),Crush,with HER
94,Maniac,Conan Gray,Maniac
95,Black Mamba,aespa,Black Mamba
96,적외선 카메라,원슈타인,쇼미더머니 9 Episode 3
97,For You (Feat. Crush),이하이,For You
98,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),"스윙스, 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone)",쇼미더머니 9 Episode 1
99,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",머쉬베놈 (MUSHVENOM),쇼미더머니 9 Final
100,Blue & Grey,방탄소년단,BE
